car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
7oX41cr6VC2UrHUx0xyWH5Yl,Toyota Corolla 2011 White,3600000,"Rivers State, Port-Harcourt",Toyota,Corolla,2011,White,Nigerian Used,114860.0,1800.0,Registered,Registered,S 4dr Sedan (1.8L 4cyl 4A),Front,unknown,5,4.0,132.0,Sedan,Petrol,Automatic
1ImechtoqDbIqWYyHJMaWsTa,Lexus RX 300 4WD 2000 Black,2700000,"Lagos State, Ibeju",Lexus,RX,2000,Black,Nigerian Used,325843.0,3300.0,Registered,Registered,300 4WD,All Wheel,LAGOS,5,6.0,201.0,SUV,Petrol,Automatic
3C8lJjrDRyasbz3MkfDETmAS,Honda CR-V 2009 Green,3937500,"Lagos State, Alimosho",Honda,CR-V,2009,Green,Nigerian Used,238325.0,2400.0,Registered,Imported,unknown,unknown,Lagos,0,0.0,0.0,SUV,Petrol,Automatic
dEOgPXH6A1df6fUff4jqhbA9,Lexus RX 2009 Gray,4452000,"Abuja (FCT), Wuse",Lexus,RX,2009,Gray,Nigerian Used,266606.0,3500.0,Registered,Imported,unknown,unknown,Abuja,0,0.0,0.0,SUV,Petrol,Automatic
if3dKUYRQqsAnS1VCyWHuEk,Honda Pilot 2007 Gray,2115000,"Lagos State, Ilupeju",Honda,Pilot,2007,Gray,Nigerian Used,155251.0,3500.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
5SxugCaeNEoXDMw53iBrhBib,Toyota Camry 2010 Blue,4160000,"Abuja (FCT), Wuse",Toyota,Camry,2010,Blue,Nigerian Used,276151.0,2500.0,Registered,Imported,unknown,unknown,Ogun,0,0.0,0.0,unknown,Petrol,Automatic
JWkxedsBrbW8jStLPTlx5M5,Toyota Land Cruiser Prado 2005 Black,5250000,"Ogun State, Ado-Odo/Ota",Toyota,Land Cruiser Prado,2005,Black,Nigerian Used,90975.0,4000.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
ahQa9aAjN6bVNtEtPqxAvJao,Ford Escape 2014 Blue,3013500,"Lagos State, Lekki",Ford,Escape,2014,Blue,Nigerian Used,100000.0,1600.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
6gM16ZaA2Iu46MVEr9ki0Gu1,Toyota Corolla 2010 Gray,2756250,"Ogun State, Ado-Odo/Ota",Toyota,Corolla,2010,Gray,Nigerian Used,264432.0,1800.0,Registered,Registered,unknown,unknown,OGUN,0,0.0,0.0,unknown,Petrol,Automatic
htjYYHoo7rOxN94Vc7Xjo5Wf,Toyota Camry 2014 Black,6090000,"Lagos State, Magodo",Toyota,Camry,2014,Black,Foreign Used,161811.0,2500.0,Imported,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
cDeloOgzpzLejU4foYjLIbJq,Lexus GX 2021 White,60750000,"Abuja (FCT), Gwarinpa",Lexus,GX,2021,White,Foreign Used,35053.0,4600.0,Imported,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
f4xiSwAgidXuiVKoYKNNlzMP,Honda Accord 2007 Blue,1554000,"Ogun State, Ado-Odo/Ota",Honda,Accord,2007,Blue,Nigerian Used,165842.0,3200.0,Registered,Registered,unknown,unknown,OGUN,0,0.0,0.0,unknown,Petrol,Automatic
desKIdMc3e0iCO7iiLehiu15,Toyota Corolla LE 2004 Gray,2250000,"Rivers State, Port-Harcourt",Toyota,Corolla,2004,Gray,Nigerian Used,270555.0,1800.0,Registered,Registered,LE,Front,ABUJA,5,4.0,132.0,Sedan,Petrol,Automatic
BLMglfCvXIKJC9cqBe6iPrt3,Toyota Camry 2003 Gray,1858500,"Abuja (FCT), Jabi",Toyota,Camry,2003,Gray,Nigerian Used,317014.0,2400.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
ka0J1LszqvBN3WofmFf3dmnr,Toyota Camry 2008 Silver,2625000,"Lagos State, Ajah",Toyota,Camry,2008,Silver,Nigerian Used,218397.0,2400.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
g8WXh9sQV5gdtbmmLNZ3PtC4,Toyota Previa 1990 Brown,1890000,"Kwara State, Ilorin East",Toyota,Previa,1990,Brown,Nigerian Used,356639.0,2400.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Manual
fitE7JM8fdQnk3fTDEXLJ5GO,Toyota Highlander Hybrid Limited 2008 Black,5040000,"Lagos State, Ikeja",Toyota,Highlander,2008,Black,Nigerian Used,179172.0,3500.0,Registered,Imported,Hybrid Limited,All Wheel,LAGOS,7,6.0,274.0,SUV,Petrol,Automatic
2Q0amMqGGWswSN1Sdm2zEd6D,Toyota Venza V6 2009 Green,5670000,"Imo State, Owerri",Toyota,Venza,2009,Green,Nigerian Used,158143.0,3500.0,Registered,Imported,V6,Front Wheel,Abuja,5,6.0,273.0,SUV,Petrol,Automatic
rUguJnab0rwON9QGwND66VbB,Lexus RX 300 1999 Red,3600000,"Lagos State, Isolo",Lexus,RX 300,1999,Red,Nigerian Used,88677.0,3000.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
tKtgr3o5U7IvynfgKrGsF5DR,Mercedes-Benz GL-Class GL 450 2007 Black,3712500,"Lagos State, Ogudu",Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,108094.0,4700.0,Registered,Registered,GL 450,All Wheel,Lagos,7,8.0,335.0,SUV,Petrol,Automatic
tA1AEG5alfYbROl8R3tRCP5Z,Toyota Camry 2008 Gray,2824500,"Lagos State, Ojodu",Toyota,Camry,2008,Gray,Nigerian Used,278077.0,2500.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
fx7c9fRbxSxsZX6VMSkStvR,Kia Rio 2014 Silver,2100000,"Abuja (FCT), Garki 2",Kia,Rio,2014,Silver,Nigerian Used,104105.0,1500.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Manual
mPEfQjtKurcpZTj4Os2NxVEw,Nissan Tiida 2008 Black,1365000,"Oyo State, Ibadan",Nissan,Tiida,2008,Black,Nigerian Used,101477.0,1800.0,Registered,Registered,unknown,unknown,Lagos State,0,0.0,0.0,unknown,Petrol,Automatic
sC1ffdQ4uIhPwp144GGUvERa,Toyota Camry 2010 Silver,4160000,"Lagos State, Ikorodu",Toyota,Camry,2010,Silver,Nigerian Used,188487.0,2700.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
i6HUe29eUCex62mdqKxqnlRz,Acura ZDX 2010 Gray,4410000,"Lagos State, Ajah",Acura,ZDX,2010,Gray,Nigerian Used,222137.0,3700.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
